nodes,g1h3,g1f3,b1c3,b1a3,h2h3,g2g3,f2f3,e2e3,d2d3,c2c3,b2b3,a2a3,h2h4,g2g4,f2f4,e2e4,d2d4,c2c4,b2b4,a2a4
57083808,-56,23,6,-65,-14,15,-65,4,-4,4,-3,-9,-44,-139,-23,21,27,21,-22,-14
57393261,-56,23,6,-65,-14,15,-65,4,-4,4,-3,-5,-44,-139,-23,21,27,21,-22,-14
58085705,-56,23,6,-65,-16,15,-65,4,-4,4,-3,-5,-44,-139,-23,21,27,21,-22,-10
58512510,-56,23,6,-65,-16,15,-65,4,-4,4,-3,-5,-44,-139,-23,21,27,21,-22,-10
58923050,-56,23,6,-65,-16,15,-65,4,-4,4,-3,-5,-44,-139,-23,21,27,21,-23,-10
59607411,-56,23,6,-65,-16,15,-65,4,-4,4,-3,-5,-44,-139,-27,21,27,21,-23,-10
59724751,-56,23,6,-65,-16,15,-65,4,-4,4,-3,-5,-39,-139,-27,21,27,21,-23,-10
60124647,-54,23,6,-65,-16,15,-65,4,-4,4,-3,-5,-39,-139,-27,21,27,21,-23,-10
61203732,-54,23,6,-65,-16,15,-69,4,-4,4,-3,-5,-39,-139,-27,21,27,21,-23,-10
62490719,-54,23,6,-72,-16,15,-69,4,-4,4,-3,-5,-39,-139,-27,21,27,21,-23,-10
63475525,-54,23,6,-72,-16,15,-69,4,-4,4,-3,-5,-39,-143,-27,21,27,21,-23,-10
65425570,-54,23,6,-72,-16,15,-69,4,-4,4,-3,-5,-39,-143,-27,21,23,21,-23,-10
65830431,-54,18,6,-72,-16,15,-69,4,-4,4,-3,-5,-39,-143,-27,19,23,21,-23,-10
66691637,-54,16,6,-72,-16,15,-69,4,-4,4,-3,-5,-39,-143,-27,19,23,21,-23,-10
67154883,-54,16,6,-72,-16,15,-69,4,-4,4,-3,-5,-39,-143,-27,19,23,18,-23,-10
67741227,-54,16,6,-72,-16,14,-69,4,-4,4,-3,-5,-39,-143,-27,19,23,18,-23,-10
67876901,-54,16,6,-72,-16,14,-69,4,-4,4,-3,-5,-39,-143,-27,19,23,18,-23,-10
68100703,-54,16,6,-72,-16,14,-69,8,-4,4,-3,-5,-39,-143,-27,19,23,18,-23,-10
68801470,-54,16,6,-72,-16,14,-69,8,-4,8,-3,-5,-39,-143,-27,19,23,18,-23,-10
69952255,-54,16,6,-72,-16,14,-69,8,-4,8,-3,0,-39,-143,-27,19,23,18,-23,-10
70577413,-54,16,6,-72,-16,14,-69,8,-5,8,-6,0,-39,-143,-27,19,23,18,-23,-10
71552919,-54,16,6,-72,-16,14,-69,8,-5,8,-3,0,-39,-143,-27,19,23,18,-23,-7
72693289,-54,16,6,-72,-10,14,-69,8,-5,8,-20,0,-39,-143,-27,19,23,18,-23,-7
72908331,-54,16,6,-72,-10,14,-69,8,-5,8,-16,0,-39,-143,-27,19,23,18,-23,-7
73118758,-54,16,6,-72,-10,14,-69,8,-5,8,-16,0,-39,-143,-27,19,23,18,-23,-7
73837199,-54,16,6,-72,-10,14,-69,8,-5,8,-16,0,-39,-143,-27,19,23,18,-23,-7
75530051,-54,16,6,-72,-10,14,-69,8,-5,8,-16,0,-43,-143,-27,19,23,18,-23,-7
75875044,-55,16,6,-72,-10,14,-69,8,-5,8,-16,0,-43,-143,-27,19,23,18,-23,-7
76577062,-55,16,6,-72,-10,14,-72,8,-5,8,-16,0,-43,-143,-27,19,23,18,-23,-7
77551436,-55,16,6,-64,-10,14,-72,8,-5,8,-16,0,-43,-143,-27,19,23,18,-23,-7
79138690,-55,16,6,-64,-10,14,-72,8,-5,8,-16,0,-43,-135,-27,19,23,18,-23,-7
79837161,-55,16,6,-64,-10,14,-72,8,-5,8,-16,0,-43,-135,-27,19,24,18,-23,-7
80097490,-55,16,6,-64,-10,14,-72,8,-5,8,-16,0,-43,-135,-27,20,24,18,-23,-7
80622956,-55,16,6,-64,-10,14,-72,8,-5,8,-16,0,-43,-135,-27,20,24,18,-23,-7
81016216,-55,17,6,-64,-10,14,-72,8,-5,8,-16,0,-43,-135,-27,20,24,18,-23,-7
81571094,-55,17,6,-64,-10,20,-72,8,-5,8,-16,0,-43,-135,-27,20,24,18,-23,-7
84072328,-55,17,6,-64,-10,20,-72,8,-5,8,-16,0,-43,-135,-27,20,24,18,-23,-7
84383462,-55,17,6,-64,-10,20,-72,8,-5,8,-16,0,-43,-135,-27,20,24,18,-23,-7
85523205,-55,17,9,-64,-10,20,-72,8,-5,8,-16,0,-43,-135,-27,20,24,18,-23,-7
86754474,-55,17,9,-64,-10,20,-72,8,-5,8,-16,-1,-43,-135,-27,20,24,18,-23,-7
87891600,-55,17,9,-64,-10,20,-72,8,-5,8,-16,-1,-43,-135,-27,20,24,18,-23,-7
88716795,-55,17,9,-64,-10,20,-72,8,-5,8,-8,-1,-43,-135,-27,20,24,18,-23,-11
88901744,-55,17,9,-64,-10,20,-72,8,-5,8,-8,-1,-43,-135,-27,20,24,18,-23,-11
90767414,-55,17,9,-64,-10,20,-72,8,-5,8,-8,-1,-43,-135,-27,20,24,18,-23,-10
91788371,-55,17,9,-64,-10,20,-72,8,-5,8,-8,-1,-43,-135,-27,20,24,18,-26,-10
93668311,-55,17,9,-64,-10,20,-72,8,-5,8,-8,-1,-43,-135,-23,20,24,18,-26,-10
95673178,-55,17,9,-64,-10,20,-72,8,-5,8,-8,-1,-41,-135,-23,20,24,18,-26,-10
